x,y,R,G,B,date,time,filename,watershed,temperature,class,year,week,month,season_autumn,season_spring,season_winter,temp_F
1357,1439,156,145,185,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1363,1432,148,143,183,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1368,1453,155,149,187,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1269,1477,163,159,196,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1275,1488,165,157,196,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1281,1499,172,162,199,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1288,1485,162,154,193,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1149,1516,160,153,187,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1157,1501,158,151,185,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1164,1508,165,158,192,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1171,1515,162,158,193,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1179,1500,164,158,194,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1543,1321,183,177,215,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1548,1322,182,175,216,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1553,1323,183,175,216,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1558,1324,188,177,217,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1466,1381,183,172,212,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1469,1389,180,169,209,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1473,1346,180,174,212,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1476,1354,176,170,208,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1479,1362,171,163,202,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1482,1370,173,162,202,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1448,1463,177,166,206,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1454,1468,176,170,208,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1460,1473,181,173,212,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1467,1452,172,164,203,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1473,1457,169,161,200,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1479,1462,161,150,192,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1485,1467,173,162,202,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1610,1377,173,165,206,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1615,1368,173,164,207,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1619,1393,178,172,210,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1624,1384,180,174,210,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1629,1375,179,171,210,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1584,1455,161,155,193,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1591,1462,156,149,191,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1598,1469,159,151,190,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1606,1454,161,154,196,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1613,1461,167,160,201,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1711,1394,177,169,208,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1716,1390,173,167,205,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1721,1386,178,172,210,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1726,1382,179,171,210,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1731,1378,182,171,211,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1812,1392,179,171,212,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1817,1393,176,169,210,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1822,1394,176,169,210,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1827,1395,178,171,212,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1742,1486,175,167,206,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1747,1477,174,166,205,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1752,1468,177,169,208,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1756,1493,178,170,211,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1761,1484,176,168,209,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1766,1475,176,168,207,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1148,1318,22,14,29,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1154,1329,25,19,31,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1161,1315,29,20,37,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1167,1326,24,17,33,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1174,1312,25,18,34,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1180,1323,33,27,39,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1050,1412,24,18,28,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1057,1412,21,13,24,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1064,1412,23,13,24,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1071,1412,24,19,26,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1009,1497,12,10,21,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1015,1478,17,11,23,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1020,1489,17,11,25,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1025,1500,15,12,23,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1031,1481,17,11,25,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1036,1492,18,12,22,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
976,1594,15,9,19,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
984,1603,14,6,21,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1216,1411,25,18,34,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1227,1407,20,18,32,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1037,1646,11,8,19,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1043,1651,20,12,23,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1049,1656,21,15,27,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1055,1661,14,11,20,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1061,1666,20,18,29,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1140,1686,15,13,24,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1149,1676,22,16,30,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1157,1685,22,18,35,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1166,1675,16,14,28,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,open_water_dark,2019,1,1,False,False,True,35
1094,1352,32,19,36,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1100,1353,32,21,35,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1106,1354,25,17,30,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1112,1355,30,22,35,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1118,1356,29,18,32,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1019,1447,42,25,31,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1023,1452,46,34,36,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1028,1419,43,28,33,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1032,1424,46,31,38,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1036,1429,45,29,40,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1040,1434,40,22,34,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1044,1439,39,26,35,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1048,1444,39,26,35,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
996,1543,12,9,20,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1002,1544,10,7,18,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1008,1545,10,8,21,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1165,1384,35,18,34,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1172,1401,35,23,35,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1180,1398,38,24,37,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1017,1345,52,35,41,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1021,1362,50,31,37,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1026,1344,49,29,40,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1030,1361,42,25,35,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1035,1343,52,31,38,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1039,1360,45,28,38,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1044,1342,43,30,37,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1048,1359,46,31,36,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1053,1341,46,29,39,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1057,1358,40,27,37,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
941,1346,76,56,58,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
945,1359,77,48,53,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
950,1336,135,106,98,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
954,1349,74,49,55,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
958,1362,72,51,50,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
992,1640,14,7,15,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
998,1647,13,10,19,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1005,1629,11,8,15,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1011,1636,12,9,16,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,open_water_dark,2019,1,1,False,False,True,26
1392,1294,242,229,255,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,snow_o,2019,1,1,False,False,True,26
1399,1297,244,231,255,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,snow_o,2019,1,1,False,False,True,26
1406,1300,243,230,255,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,snow_o,2019,1,1,False,False,True,26
1413,1303,242,229,255,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,snow_o,2019,1,1,False,False,True,26
1420,1306,242,229,255,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,snow_o,2019,1,1,False,False,True,26
1534,1292,254,252,255,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,snow_o,2019,1,1,False,False,True,26
1539,1299,255,253,255,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,snow_o,2019,1,1,False,False,True,26
1545,1276,255,245,255,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,snow_o,2019,1,1,False,False,True,26
1550,1283,254,247,254,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,snow_o,2019,1,1,False,False,True,26
1555,1290,254,249,255,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,snow_o,2019,1,1,False,False,True,26
1495,1367,255,254,255,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,snow_o,2019,1,1,False,False,True,26
1501,1362,255,254,255,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,snow_o,2019,1,1,False,False,True,26
1507,1357,255,254,255,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,snow_o,2019,1,1,False,False,True,26
1512,1379,255,254,255,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,snow_o,2019,1,1,False,False,True,26
1518,1374,255,254,255,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,snow_o,2019,1,1,False,False,True,26
1447,1610,78,67,99,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,ice_t,2019,1,1,False,False,True,26
1454,1592,93,76,112,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,ice_t,2019,1,1,False,False,True,26
1460,1599,103,89,122,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,ice_t,2019,1,1,False,False,True,26
1466,1606,143,134,161,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,ice_t,2019,1,1,False,False,True,26
1473,1588,90,77,103,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,ice_t,2019,1,1,False,False,True,26
1337,1648,123,115,139,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,ice_t,2019,1,1,False,False,True,26
1346,1634,121,117,144,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,ice_t,2019,1,1,False,False,True,26
1354,1639,110,101,128,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,ice_t,2019,1,1,False,False,True,26
1362,1644,78,69,100,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,ice_t,2019,1,1,False,False,True,26
1184,1670,82,74,98,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,ice_t,2019,1,1,False,False,True,26
1190,1671,119,111,134,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,ice_t,2019,1,1,False,False,True,26
1197,1646,76,61,90,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,ice_t,2019,1,1,False,False,True,26
1203,1647,74,60,86,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,ice_t,2019,1,1,False,False,True,26
1209,1648,72,57,88,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,ice_t,2019,1,1,False,False,True,26
1215,1649,63,54,85,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,ice_t,2019,1,1,False,False,True,26
1221,1650,85,71,104,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,ice_t,2019,1,1,False,False,True,26
1227,1651,92,79,105,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,ice_t,2019,1,1,False,False,True,26
1178,1541,151,140,182,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,snow_o,2019,1,1,False,False,True,26
1185,1544,157,142,183,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,snow_o,2019,1,1,False,False,True,26
1192,1547,149,141,180,2019-01-02,2024-09-11 11:59:44,Hbwtr_w6_20190102_115944.JPG,w6,26F,snow_o,2019,1,1,False,False,True,26
